No.	rev_datemodified	locale	file_name	h1	product	ssi_header	globalfooter	header	author2	author3	keywords	columntype	pod	topiccenter	rev_datecreated	article_title	area	fullwidth	commentWidget	page_total	page_number	editor	products	commentRating	columns	fma	head	printLayout	description	shorttitle	promo	robots	ROBOTS	breadcrumb	flashdetection	MMlocale	devCtrNav	datemodified	identity	lang	topic	globalnav	level	url	ssi_syntax	dropdown,pod,tab,tree,map	author	modules	datecreated	devCtrAccordion	user_level	blurb	contentarea	Keywords	title	page	
12	25 August 2008	en_us	event_handling_as3		flex						ActionScript 3.0, AS3, EventDispatcher, mouse events, keyboard events, listener function, event propagation, tracking user interaction, capture input, event handling, capturing, bubbling, at target, event phases, addEventListener	novalue		novalue	26 February 2007	Introduction to event handling in ActionScript 3.0	devnet		true	8	1	Tommi West	Flash, Flex	true	1		flash	false		Introduction to event handling in ActionScript 3.0		noodp					true	25 August 2008		en-us			beginner	www.adobe.com/devnet/actionscript/articles/event_handling_as3.html		dropdown,pod	Trevor McCauley		19 February 2007	true	1	Use the new EventDispatcher class to track mouse interactions and create your own custom events when building applications in Flex or Flash.	Adobe Developer Connection		Introduction to event handling in ActionScript 3.0 | Adobe Developer Connection	main	
13	15 October 2007	en_us	lightweight_as3	Creating a preloader in Flash	actionscript						ActionScript, preload content, event listeners, event dispatching, preloader, lightweight, classes, directory structure	novalue		novalue	15 October 2007	Creating a preloader in Flash	devnet		true	4	1	Tommi West	ActionScript, Flash, Flash Player	true	1		flash	false		Creating a preloader in Flash		noodp					true	15 October 2007		en-us			Intermediate	www.adobe.com/devnet/actionscript/articles/lightweight_as3.html		dropdown	Jamie Kosoy		15 October 2007	true	3	Build an ActionScript 3 preloader in Flash CS3 that is reusable and easy to reskin, and also learn best practices for optimizing performance.	Adobe Developer Connection		Creating a preloader in Flash | Adobe Developer Connection	main	
14	27 July 2009	en_us	lost_as_weekend	Colin Moock ActionScript 3 videos	Flex						OOP, ActionScript training, object references, garbage collection, graphics programming, display list, Flex debugging mode, Flex profiling, lost weekend	article		novalue	27 July 2009	Colin Moock, ActionScript, videos			true	1	1	Stefan Gruenwedel	Flash, Flex	true	1		devnet	false	Join Colin Moock and friends as they turn fireside chats, cabin discussions, and even some clowning around into compelling, real-world lessons about ActionScript 3.	Colin Moock ActionScript 3 videos		noodp					true	27 July 2009		en-us			all	www.adobe.com/devnet/actionscript/articles/lost_as_weekend.html		accordion,dropdown	Colin Moock		27 July 2009	true	0	Join Colin Moock and friends as they turn fireside chats, cabin discussions, and even some clowning around into compelling, real-world lessons about ActionScript 3.	Adobe Developer Connection		Colin Moock, ActionScript, videos | Adobe Developer Connection	main	
15	2 July 2007	en_us	oop_as3		flash						ActionScript 3.0, classes, Flash applications, object-oriented programming, inheritance, package, constructor methods, encapsulation, .as files, polymorphism, getter methods, setter methods	novalue		actionscript	2 July 2007	Object-oriented programming with ActionScript 3.0	devnet		true	5	1	Tommi West	Flash	true	1		flash	false		Object-oriented programming with ActionScript 3.0		noodp					true	2 July 2007		en-us			beginner,intermediate	www.adobe.com/devnet/actionscript/articles/oop_as3.html		dropdown,pod	Peter Elst		2 July 2007	true	2	Learn about the concept of classes and how ActionScript 3.0 helps you write more portable, reusable code for your web applications.	Adobe Developer Connection		Object-oriented programming with ActionScript 3.0 | Adobe Developer Connection	main	
16	10 September 2007	en_us	ora_as3_design_patterns		flash				Chadima Cumaranatunge		ActionScript, design pattern, factory, model-view-controller	novalue		novalue	10 September 2007	ActionScript 3.0 Design Patterns excerpt: Factory method and MVC	devnet		true	1	1	Stefan Gruenwedel	Flex, Flash	true	1		flash	false		ActionScript 3.0 Design Patterns excerpt: Factory method and MVC		noodp					true	10 September 2007		en-us			Intermediate, Advanced	www.adobe.com/devnet/actionscript/articles/ora_as3_design_patterns.html		dropdown,pod	William B. Sanders		10 September 2007	true	4	Download two complete chapters from this hands-on introduction from O\'Reilly Media to learn how reusable design patterns solve common problems in Flash and Flex applications.	Adobe Developer Connection		ActionScript 3.0 Design Patterns excerpt: Factory method and MVC | Adobe Developer Connection	main	
17	4 September 2007	en_us	ora_essential_as3		flash						ActionScript, display API, display list, events, hierarchies	novalue		novalue	4 September 2007	Essential ActionScript 3.0 excerpt: Display and interactivity	devnet		true	1	1	Stefan Gruenwedel	Flex, Flash	true	1		flash	false		Essential ActionScript 3.0 excerpt: Display and interactivity		noodp					true	4 September 2007		en-us			Intermediate, Advanced	www.adobe.com/devnet/actionscript/articles/ora_essential_as3.html		dropdown,pod	Colin Moock		4 September 2007	true	4	Download two complete chapters from this updated reference from O\'Reilly Media to learn about the core of the ActionScript 3.0 language, as well as the new Flash Player API.	Adobe Developer Connection		Essential ActionScript 3.0 excerpt: Display and interactivity | Adobe Developer Connection	main	
18	23 June 2008	en_us	ora_learning_as3		Flash				Zevan Rosser		Actionscript 3.0, display list, programming motion, OOP, animation techniques, Document class, legacy code compatibility	article		novalue	23 June 2008	Learning ActionScript 3.0 excerpts: OOP overview, display list, and programmatic motion	devnet		true	1	1	Sharba Roy Chowdhury	Flash	true	1		flash	false		Learning ActionScript 3.0 excerpts: OOP overview, display list, and programmatic motion		noodp					true	23 June 2008		en-us			Beginner/Intermediate	www.adobe.com/devnet/actionscript/articles/ora_learning_as3.html		accordion,dropdown	Rich Shupe		23 June 2008	true	2	Check out these three chapters from O\'Reilly Media so you can begin to use ActionScript 3.0 for practical, everyday projects.	Adobe Developer Connection		Learning ActionScript 3.0 excerpts: OOP overview, display list, and programmatic motion | Adobe Developer Connection	main	
19	18 August 2008	en_us	six_reasons_as3		Flash						Flash, ActionScript 3.0, AS3, migration, ECMAScript, history, display list, object-oriented programming, ActionScript Virtual Machine (AVM), FAQ, class files, .as, Flash Player API, Colin Moock	article		novalue	18 August 2008	Six reasons to use ActionScript 3.0	devnet		true	1	1	Tommi West	Flash	true	1		flash	false		Six reasons to use ActionScript 3.0		noodp					true	18 August 2008		en-us			Beginner	www.adobe.com/devnet/actionscript/articles/six_reasons_as3.html		accordion,dropdown	Lee Brimelow		18 August 2008	true	1	Find out about the benefits of using ActionScript 3.0 in your Flash projects.	Adobe Developer Connection		Six reasons to use ActionScript 3.0 | Adobe Developer Connection	main	
20	19 January 2009	en_us	unit_test_mock_objects		Flash				Paulo Caroli		unit testing, mock objects, mock, Mock4AS, SUT, DOC, ActionScript 3.0	novalue		novalue	19 January 2009	Unit testing with mock objects in ActionScript 3.0			true	3	1	Jack Wilber	Flash, Flex	true	1		devnet	false	Learn how Mock objects can improve the code coverage of your Flash and Flex applications by adding behavior verification to your unit tests			noodp					true			en-us				www.adobe.com/devnet/actionscript/articles/unit_test_mock_objects.html		accordion,dropdown	Jason Peters		19 January 2009	true	-1	Learn how Mock objects can improve the code coverage of your Flash and Flex applications by adding behavior verification to your unit tests	Adobe Developer Connection		Unit testing with mock objects in ActionScript 3.0 | Adobe Developer Connection	main	
21	8 September 2008	en_us	3d_integration_pt1		After Effects						3D, UV, UV space, Re:Map UV	article		novalue	8 September 2008	Integrating 3D applications with After Effects &amp;#8211; Part 1: Working with UV data	devnet		false	6	1	Matt Lusher	After Effects	true	1		after effects	false		Integrating 3D applications with After Effects - Part 1: Working with UV data		noodp					true	8 September 2008		en-us			Intermediate/Advanced	www.adobe.com/devnet/aftereffects/articles/3d_integration_pt1.html		accordion,dropdown	Lutz Albrecht		8 September 2008	true	4	Learn how to export UV data from your favorite 3D application for compositing in After Effects.	Adobe Developer Connection		Integrating 3D applications with After Effects &#8211; Part 1: Working with UV data | Adobe Developer Connection	main	
22	8 September 2008	en_us	3d_integration_pt2		After Effects						3D, matte, RGB matte, alpha matte, channel, OpenEXR, fnord	article		novalue	8 September 2008	Integrating 3D applications with After Effects \xe2\x80\x93 Part 2: Working with mattes and channels	devnet		false	8	1	Matt Lusher	After Effects	true	1		after effects	false		Integrating 3D applications with After Effects - Part 2: Working with mattes and channels		noodp					true	8 September 2008		en-us			Intermediate/Advanced	www.adobe.com/devnet/aftereffects/articles/3d_integration_pt2.html		accordion,dropdown	Lutz Albrecht		8 September 2008	true	4	Create alpha and RGB mattes and object buffers in your favorite 3D applications for compositing in After Effects, as well as work with OpenEXR plug-ins.	Adobe Developer Connection		Integrating 3D applications with After Effects \xe2\x80\x93 Part 2: Working with mattes and channels | Adobe Developer Connection	main	
23	29 September 2008	en_us	color_management_workflow		After Effects						color management, digital cinema workflow, high-definition video workflow, animation workflow, Flash export workflow	article		novalue	29 September 2008	Color management workflow in After Effects CS4	devnet		false	1	1	Stefan Gruenwedel	After Effects	true	1		after effects	false		Color management workflow in After Effects CS4		noodp					true	15 October 2008		en-us			Beginner/Intermediate	www.adobe.com/devnet/aftereffects/articles/color_management_workflow.html		accordion,dropdown	Adobe		15 October 2008	true	2	Discover how color management technology in After Effects CS4 can help you achieve accurate and consistent color reproduction.	Adobe Developer Connection		Color management workflow in After Effects CS4 | Adobe Developer Connection	main	
24	29 September 2008	en_us	image_state_adjustment		After Effects						video, digital cinema workflow, digital color, Flash workflow, gamma adjustment	article		novalue	29 September 2008	Image state adjustment in After Effects CS4 color workflows	devnet		false	1	1	Stefan Gruenwedel	After Effects	true	1		after effects	false		Image state adjustment in After Effects CS4 color workflows		noodp					true	15 October 2008		en-us			Advanced	www.adobe.com/devnet/aftereffects/articles/image_state_adjustment.html		accordion,dropdown	Adobe		15 October 2008	true	5	Learn how to interpret digital color values consistently when compositing in After Effects CS4.	Adobe Developer Connection		Image state adjustment in After Effects CS4 color workflows | Adobe Developer Connection	main	
25	25 February 2008	en_us	air_ajax_developers		Adobe AIR						Adobe Integrated Runtime, Adobe AIR, Apollo, Ajax, desktop application development, rich Internet applications, RIAs, security sandbox, browser limitations	novalue		novalue	30 September 2007	Introducing Adobe AIR for Ajax developers	devnet		false	5	1	Tommi West	Adobe AIR	true	1		adobe air	false		Introducing Adobe AIR for Ajax developers		noodp					true	30 September 2007		en-us			Beginner, Intermediate	www.adobe.com/devnet/air/ajax/articles/air_ajax_developers.html		dropdown	Kevin Hoyt		30 September 2007	true	-1	Discover exciting new development options for building desktop applications.	Adobe Developer Connection		Introducing Adobe AIR for Ajax developers | Adobe Developer Connection	main	
26	24 March 2008	en_us	air_dreamweaver_for_js		Dreamweaver						AIR, Dreamweaver, JavaScript, AIR SDK, debugging	article		novalue	24 March 2008	Adobe AIR and Dreamweaver for JavaScript developers	devnet		false	5	1	Michael Koch	Adobe AIR, Dreamweaver	true	1		adobe air	false		Adobe AIR and Dreamweaver for JavaScript developers		noodp					true	24 March 2008		en-us			Intermediate	www.adobe.com/devnet/air/ajax/articles/air_dreamweaver_for_js.html		accordion,dropdown	David Tucker		24 March 2008	true	3	Understand the differences between web development with HTML/JavaScript and application development with the same tools.	Adobe Developer Connection		Adobe AIR and Dreamweaver for JavaScript developers | Adobe Developer Connection	main	
27	18 June 2008	en_us	flex_remoting		Adobe AIR						Dojo, MooTools, Yahoo! UI, YUI, Spry	article		novalue	18 June 2008	Enabling Web 2.0: Dojo, MooTools, YUI, and Spry	devnet		false	1	1	Michael Koch	Adobe AIR	true	1		adobe air	false		Enabling Web 2.0: Dojo, MooTools, YUI, and Spry		noodp					true	18 June 2008		en-us			All	www.adobe.com/devnet/air/ajax/articles/ajax_interviews.html		accordion,dropdown	Adobe nobyline		18 June 2008	true	0	Get an overview of the key strengths of Dojo, MooTools, Yahoo! UI, and Spry from the developers.	Adobe Developer Connection		Enabling Web 2.0: Dojo, MooTools, YUI, and Spry | Adobe Developer Connection	main	
28	11 March 2009	en_us	aptana_air_js_debugging		Adobe AIR						Aptana Studio, Adobe AIR, Ajax, JavaScript, debugging	article		novalue	11 March 2009	Debugging JavaScript code in Adobe AIR with Aptana Studio			false	1	1	Michael Koch	Adobe AIR	true	1		devnet	false	Check out the JavaScript debugger, part of the Adobe AIR Development Plug-In for Aptana Studio.	Debugging JavaScript code in Adobe AIR with Aptana Studio		noodp					true	5 February 2009		en-us			All	www.adobe.com/devnet/air/ajax/articles/aptana_air_js_debugging.html		accordion,dropdown	Joelle Lam		11 March 2009	true	0	Check out the JavaScript debugger, part of the Adobe AIR Development Plug-In for Aptana Studio.	Adobe Developer Connection		Debugging JavaScript code in Adobe AIR with Aptana Studio | Adobe Developer Connection	main	
29	17 November 2008	en_us	blackbooksafe_anatomy		Adobe AIR						BlackBookSafe, sample application, Adobe AIR	article		novalue	17 November 2008	BlackBookSafe: Anatomy of an AIR 1.5 application			false	1	1	Michael Koch	Adobe AIR	true	1		devnet	false		BlackBookSafe: Anatomy of an AIR 1.5 application		noodp					true	17 November 2008		en-us			All	www.adobe.com/devnet/air/ajax/articles/blackbooksafe_anatomy.html		accordion,dropdown	Mihai Corlan		17 November 2008	true	0	Explore how the BlackBookSafe sample application uses the new features in AIR 1.5.	Adobe Developer Connection		BlackBookSafe: Anatomy of an AIR 1.5 application | Adobe Developer Connection	main	
30	25 February 2008	en_us	building_on_air_in_aptana		Adobe AIR						Adobe AIR, AIR, Aptana, AIR plug-in, AIR plugin	novalue		novalue	25 February 2008	Developing on Adobe AIR with Aptana Studio	devnet		false	5	1	Michael Koch	Air	true	1		adobe air	false		Developing on Adobe AIR in Aptana Studio		noodp					true	25 February 2008		en-us			Beginner	www.adobe.com/devnet/air/ajax/articles/building_on_air_in_aptana.html		accordion,dropdown	Kevin Sawicki		25 February 2008	true	1	Discover how the Adobe AIR plug-in in Aptana studio simplifies building Ajax applications on AIR.	Adobe Developer Connection		Developing on Adobe AIR with Aptana Studio | Adobe Developer Connection	main	
31	25 February 2008	en_us	encrypted_local_store		AIR										17 December 2007	 Using the encrypted local store feature 			false	1	1		AIR	true	1		adobe air	false				noodp					true	25 February 2008		en-us				www.adobe.com/devnet/air/ajax/articles/encrypted_local_store.html		dropdown	Kevin Hoyt		17 December 2007	true	4		Adobe Developer Connection		 Using the encrypted local store feature  | Adobe Developer Connection	main	
32		en_us					true	true																								noodp	NOINDEX,NOFOLLOW						adobe			true		www.adobe.com/devnet/air/ajax/articles/interacting_with_native_process.html											Adobe - Error page		
33	25 February 2008	en_us	mapcache_on_air		Adobe AIR						Adobe AIR, AIR, Apollo, file IO, Yahoo Maps, security, classic sandbox, AIR security, application descriptor file, MapCache 	novalue		novalue	30 September 2007	Recreating MapCache on Adobe AIR	devnet		false	7	1	Michael Koch	Adobe AIR	true	1		adobe air	false		Recreating MapCache on Adobe AIR		noodp					true	30 September, 2007		en-us			Intermediate, Advanced	www.adobe.com/devnet/air/ajax/articles/mapcache_on_air.html		dropdown	Kevin Hoyt		30 September, 2007	true	4	Find out how to take an HTML-based web app to the desktop and how to use local file IO in Adobe AIR.	Adobe Developer Connection		Recreating MapCache on Adobe AIR | Adobe Developer Connection	main	
35	14 April 2008	en_us	todo_air_dw		Dreamweaver						AIR, AIR extension, Dreamweaver, to do list	article		novalue	14 April 2008	Building a common desktop application on AIR in Dreamweaver CS3	devnet		false	6	1	Jack Wilber	Adobe AIR, Dreamweaver	true	1		adobe air	false		Building a common desktop application on AIR in Dreamweaver CS3		noodp					true	14 April 2008		en-us			Intermediate	www.adobe.com/devnet/air/ajax/articles/todo_air_dw.html		accordion,dropdown	Jonathan Snook		14 April 2008	true	3	Use Dreamweaver CS3 to create a simple, custom-chrome Adoeb AIR application.	Adobe Developer Connection		Building a common desktop application on AIR in Dreamweaver CS3 | Adobe Developer Connection	main	
36	10 June 2010	en_us	index	Adding menus to an AIR application	Adobe AIR										25 February 2008	Adding menus to an AIR application			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/adding_menus.html		dropdown	Charles Ward		25 February 2008	true	4		Adobe Developer Connection		Adding menus to an AIR application | Adobe Developer Connection	main	
37	10 June 2010	en_us	index	Building a text-file editor	Adobe AIR										25 February 2008	Building a text-file editor			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/building_text_editor.html		dropdown	Jeff Swartz		25 February 2008	true	4		Adobe Developer Connection		Building a text-file editor | Adobe Developer Connection	main	
38	10 June 2010	en_us	index	Creating toast-style windows	Adobe AIR										25 April 2008	Creating toast-style windows			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/creating_toast-style_windows.html		dropdown	Charles Ward		25 April 2008	true	4		Adobe Developer Connection		Creating toast-style windows | Adobe Developer Connection	main	
39	10 June 2010	en_us	index	Customizing the look and feel of a window	Adobe AIR										25 February 2008	Customizing the look and feel of a window			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/custom_chrome.html		dropdown	Charles Ward		25 February 2008	true	4		Adobe Developer Connection		Customizing the look and feel of a window | Adobe Developer Connection	main	
40	25 February 2008	en_us	index	Building a directory search application	Adobe AIR										25 February 2008	Building a directory search application			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true			en-us				www.adobe.com/devnet/air/ajax/quickstart/directory_search.html		dropdown	Jeff Swartz		25 February 2008	true	4		Adobe Developer Connection		Building a directory search application | Adobe Developer Connection	main	
41	10 June 2010	en_us	index	Working with the encrypted local SQLite database	flash										17 November 2008	Working with the encrypted local SQLite database			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/encrypted_database.html		dropdown	H Paul Robertson		17 November 2008	true	4		Adobe Developer Connection		Working with the encrypted local SQLite database | Adobe Developer Connection	main	
42	10 June 2010	en_us	index	Building the Quick Start sample applications with HTML	Adobe AIR										25 February 2008	Building the Quick Start sample applications with HTML			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/how_to_build_html.html		dropdown	Adobe		25 February 2008	true	4		Adobe Developer Connection		Building the Quick Start sample applications with HTML | Adobe Developer Connection	main	
43	17 November 2009	en_us	interacting_with_native_process	Interacting with a native process	Adobe AIR						native process, NativeProcess, installer, Ajax, HTML	article		novalue	17 November 2009	Interacting with a native process			true	3	1	Michael Koch	Adobe AIR	true	1		devnet	false	Learn how to package an AIR application in a native installer.	Interacting with a native process		noodp					true	17 November 2009		en-us			Intermediate/Advanced	www.adobe.com/devnet/air/ajax/quickstart/interacting_with_native_process.html		accordion,dropdown	Jeff Swartz		17 November 2009	true	4	Learn how to package an AIR application in a native installer.	Adobe Developer Connection		Interacting with a native process | Adobe Developer Connection	main	
44	10 June 2010	en_us	index	Building a JPEG file uploader	Adobe AIR										25 February 2008	Building a JPEG file uploader			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/jpeg_file_upload.html		dropdown	Jeff Swartz		25 February 2008	true	4		Adobe Developer Connection		Building a JPEG file uploader | Adobe Developer Connection	main	
45	10 June 2010	en_us	index	Building a multilingual HTML-based application	Adobe AIR										16 June 2008	Building a multilingual HTML-based application			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/multilingual_air_apps.html		dropdown	Jeff Swartz		16 June 2008	true	4		Adobe Developer Connection		Building a multilingual HTML-based application | Adobe Developer Connection	main	
46	10 June 2010	en_us	index	Using the Sandbox Script Bridge	Adobe AIR										25 February 2008	Using the Sandbox Script Bridge			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true	10 June 2010		en-us				www.adobe.com/devnet/air/ajax/quickstart/sandbox_bridge.html		dropdown	Jeff Swartz		25 February 2008	true	4		Adobe Developer Connection		Using the Sandbox Script Bridge | Adobe Developer Connection	main	
47	16 March 2009	en_us	index	Cross-scripting PDF content in an Adobe AIR application	Adobe AIR										16 March 2009	Cross-scripting PDF content in an Adobe AIR application			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true			en-us				www.adobe.com/devnet/air/ajax/quickstart/scripting_pdf.html		dropdown	Jeff Swartz		16 March 2009	true	4		Adobe Developer Connection		Cross-scripting PDF content in an Adobe AIR application | Adobe Developer Connection	main	
48	17 November 2008	en_us	index	Distributing Adobe AIR applications via the Web	flash player										17 November 2008	Distributing Adobe AIR applications via the Web			true	1	1		Adobe AIR	true	1		adobe air	false				noodp					true			en-us				www.adobe.com/devnet/air/ajax/quickstart/seamless_install.html		dropdown	Jeff Swartz		17 November 2008	true	2		Adobe Developer Connection		Distributing Adobe AIR applications via the Web | Adobe Developer Connection	main	
